SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000039	5.83669670008234	6.38111056539818	5.8019231007074	6.07225383787276	6.79785362277643	6.16728704888659	6.45984501369308	6.01439898817683	6.14181947788914	6.29517124942879
ENSMMUG00000000040	4.81003311924795	4.94803020193475	5.07135176799542	4.70012616575854	4.33155530074869	5.23747372060713	4.91560994355472	5.27248778278062	5.11979702938316	4.53981762313062
ENSMMUG00000000042	5.03943143521512	4.63730196789287	4.70552847113947	4.65411170901237	4.79684082020457	4.38647902537449	4.54114658228666	4.68614074258281	4.45158850219735	4.78863392078978
ENSMMUG00000000043	5.39938068751375	5.27905644875642	5.05340387912193	5.02292381246301	5.37052608358807	5.06021713733284	5.1794010602099	5.27143031817903	5.18286425421028	5.03760106397329
ENSMMUG00000000044	5.01932761728346	4.96117804859689	5.13726817853422	4.98713523810244	5.36642797086281	5.05002632572263	4.99679237152057	5.18026857407417	4.91224635408871	4.87349204746521
ENSMMUG00000000049	5.84487768351077	5.5292549523281	5.41133974072763	5.5299291812773	5.44006367050935	5.48645688920242	5.8805704934815	5.63657886372676	5.46613548768429	5.44640029181641
ENSMMUG00000000051	2.07243204611778	1.75753001051944	2.43234873483632	1.59550786486847	2.09599653562989	1.35984686317856	1.98390105871528	1.86506374883709	1.38670694155062	1.4783769439445
ENSMMUG00000000054	6.97060128293849	6.58790770364185	6.61982652318186	6.80941315568757	6.9576067538977	7.24080160698707	7.00659619776816	6.54221255239189	6.89666552717174	6.69448047215286
ENSMMUG00000000055	4.58292235139579	4.08642537310362	3.84615857943376	4.65827460708195	5.24904675139712	5.31971896786345	4.96640086101405	4.42777358959937	4.74971726071199	4.82561414799416
ENSMMUG00000000056	5.18306891453018	4.91024342865926	4.86235606874644	4.60106323045878	5.11730202914226	5.02063577779853	4.96230113892741	5.04766085364762	5.04798193703848	4.60115578276095
ENSMMUG00000000058	4.94062708574234	4.93669508541444	5.0120107414158	4.25294767192323	4.81865086788812	4.54976970157392	4.99119924403468	5.50321719092912	4.68450795063502	3.91422730892741
ENSMMUG00000000059	5.22820950580823	4.97470261038678	4.87466056944121	5.02567543444013	4.84507111443365	4.67310221783155	4.8100932313157	5.00403314330382	4.9533427411476	5.1293236840379
ENSMMUG00000000063	7.61640523310707	7.45992060449869	7.4623212255052	7.8636027789207	7.22114502589305	7.34368944965999	7.25586454010257	7.26535713511702	7.24684895913663	7.33801800785161
ENSMMUG00000000065	4.8907185672422	4.50963407326019	4.56848032603536	4.66086609322269	4.65368019253051	4.72993517999604	4.55043686152632	4.3350493167631	4.37674116745183	4.4043996455575
ENSMMUG00000000067	6.37909897870041	6.34653943304377	6.32571284762658	5.90886582775649	6.30045977962501	6.16521374043458	6.33004590621317	6.22365312264967	6.22425865805467	6.00555443800516
ENSMMUG00000000070	1.30676031745612	2.21094459275745	1.35545049056695	0.495712059894743	1.59118155828235	1.10904660844167	1.22006943003339	0.748398464916448	1.16228094591693	1.50643497077155
ENSMMUG00000000072	4.45243943016126	4.26682996833178	4.26568930639492	3.88313034419926	4.1792356569258	4.30339704858968	4.4028541537892	4.46302094185745	4.29147954005922	4.26545397449492
ENSMMUG00000000074	6.7368278390401	6.71329854021819	6.622361046039	6.48867930412694	6.61116764804036	6.57665686591984	6.60407505545173	6.54514591723306	6.4912965823195	6.48951646458539
ENSMMUG00000000075	2.88021078207197	2.96051383823019	2.93521973088441	2.47059360369175	2.925761309125	2.89235977807001	3.19658251708582	3.66941305020151	2.8983100595947	2.72334992056095
ENSMMUG00000000081	3.21133785432606	3.55124158611482	3.55976853424709	3.18482796268356	3.14133557614529	3.36217362737466	3.24053902877013	3.61890634870685	3.55723861637059	3.4728354632389
ENSMMUG00000000085	7.11945170235503	7.09875361373093	6.69495824035797	7.2580757916263	6.68548222636661	7.74839611802154	7.77803095304122	7.20328289510401	7.19698329493977	6.58622320002102
